language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_spreading,UniXcoder,entropy,500,0.9698041909996564,0.9468866467376528,0.9640339374266282,0.965271222985688,0.9679574242665352
java,label_spreading,UniXcoder,uniform,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_spreading,UniXcoder,uniform,100,0.5700790106492615,0.1810801799833793,0.5609910256097447,0.6332882308726304,0.57823456746141
java,label_spreading,UniXcoder,uniform,250,0.8511508072827209,0.6513678728992117,0.8032405287840048,0.8675598592179108,0.8507201098719042
java,label_spreading,UniXcoder,uniform,500,0.9758845757471658,0.9557050867615148,0.9634438343828228,0.9707450199537104,0.9721176200868216
java,label_spreading,UniXcoder,random_then_entropy_1,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_spreading,UniXcoder,random_then_entropy_1,100,0.5082102370319479,0.1234669061802134,0.5006445743087105,0.5725722827405171,0.5150725201007061
java,label_spreading,UniXcoder,random_then_entropy_1,250,0.8259017519752663,0.5910062907536668,0.7801110192194832,0.8485370168666305,0.8286533642548125
java,label_spreading,UniXcoder,random_then_entropy_1,500,0.9755066987289592,0.9563763318451002,0.9618154612275328,0.969730073773104,0.9728487383657424
java,label_spreading,UniXcoder,random_then_entropy_2,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_spreading,UniXcoder,random_then_entropy_2,100,0.5082102370319479,0.1234669061802134,0.5006445743087105,0.5725722827405171,0.5150725201007061
java,label_spreading,UniXcoder,random_then_entropy_2,250,0.6877361731363791,0.3149085571309103,0.6498925684450957,0.73559537385862,0.6850338313519326
java,label_spreading,UniXcoder,random_then_entropy_2,500,0.969391961525249,0.9429596011290924,0.950810135299228,0.9630297561466244,0.9630614912737604
java,label_propagation,CodeT5,random,50,0.539161800068705,0.2966367567519434,0.4177201969275119,0.5346356018208379,0.5376191556311378
java,label_propagation,CodeT5,random,100,0.7079697698385434,0.4948246916984843,0.5838232236932255,0.7003654706234214,0.7095443942807951
java,label_propagation,CodeT5,random,250,0.8265888010992786,0.67484894927622,0.7243533160153923,0.8178379730951024,0.8207248971462621
java,label_propagation,CodeT5,random,500,0.9247337684644452,0.8530920997574389,0.8638285715381897,0.917181073549699,0.9177512203193722
java,label_propagation,CodeT5,entropy,50,0.539161800068705,0.2966367567519434,0.4177201969275119,0.5346356018208379,0.5376191556311378
java,label_propagation,CodeT5,entropy,100,0.5683957402954312,0.3331393078806443,0.4611986128064073,0.5619253478780715,0.5688532520044844
java,label_propagation,CodeT5,entropy,250,0.5926142219168671,0.3624943398339684,0.4931069600353058,0.5820391124452573,0.5931870620795918
java,label_propagation,CodeT5,entropy,500,0.6564067330814154,0.4376102409078758,0.5518939698654319,0.6457745645724865,0.6543289902313136
java,label_propagation,CodeT5,uniform,50,0.539161800068705,0.2966367567519434,0.4177201969275119,0.5346356018208379,0.5376191556311378
java,label_propagation,CodeT5,uniform,100,0.6241154242528341,0.3962863279335443,0.5132725468134163,0.6139207996216107,0.623260679075385
java,label_propagation,CodeT5,uniform,250,0.6964616970113363,0.4851457746893404,0.6008541689352338,0.6876635820271781,0.6947181408450736
java,label_propagation,CodeT5,uniform,500,0.8036070079010649,0.6430079905529951,0.7341262861380101,0.7960276657147285,0.802629745346359
java,label_propagation,CodeT5,random_then_entropy_1,50,0.539161800068705,0.2966367567519434,0.4177201969275119,0.5346356018208379,0.5376191556311378
java,label_propagation,CodeT5,random_then_entropy_1,100,0.7079697698385434,0.4948246916984843,0.5838232236932255,0.7003654706234214,0.7095443942807951
java,label_propagation,CodeT5,random_then_entropy_1,250,0.7728615596015115,0.58938231843516,0.6675298844408509,0.7639990292665264,0.7720187175607721
java,label_propagation,CodeT5,random_then_entropy_1,500,0.8683613878392306,0.7489676027329781,0.7969725922785887,0.861059973450607,0.8683489404347011
java,label_propagation,CodeT5,random_then_entropy_2,50,0.539161800068705,0.2966367567519434,0.4177201969275119,0.5346356018208379,0.5376191556311378
java,label_propagation,CodeT5,random_then_entropy_2,100,0.7079697698385434,0.4948246916984843,0.5838232236932255,0.7003654706234214,0.7095443942807951
java,label_propagation,CodeT5,random_then_entropy_2,250,0.8265888010992786,0.67484894927622,0.7243533160153923,0.8178379730951024,0.8207248971462621
java,label_propagation,CodeT5,random_then_entropy_2,500,0.9129165235314324,0.8378339746657272,0.8591454897707355,0.9034640513488672,0.90549056900674
java,label_spreading,CodeT5,random,50,0.5295774647887324,0.2870172374011092,0.4225608304750391,0.5292072620152382,0.5317225437677169
java,label_spreading,CodeT5,random,100,0.6769838543455856,0.4399712921807276,0.5558789669684993,0.6733784700365582,0.6812831530862911
java,label_spreading,CodeT5,random,250,0.8091721058055651,0.6411746248715866,0.7040986664586756,0.8025727133258431,0.8063073483790856
java,label_spreading,CodeT5,random,500,0.913672277567846,0.8336253041271643,0.8520822771179659,0.9054776398773668,0.9073574338687566
java,label_spreading,CodeT5,entropy,50,0.5295774647887324,0.2870172374011092,0.4225608304750391,0.5292072620152382,0.5317225437677169
java,label_spreading,CodeT5,entropy,100,0.5172449330127104,0.2458249904803556,0.4184659246373078,0.5180333544411655,0.5216340451416963
java,label_spreading,CodeT5,entropy,250,0.5237375472346273,0.2372498122509957,0.4160366054338126,0.5228015164620146,0.5290928442050218
java,label_spreading,CodeT5,entropy,500,0.5671590518722088,0.286131361743527,0.4624780282527383,0.5662791857379705,0.5698642370421438
java,label_spreading,CodeT5,uniform,50,0.5295774647887324,0.2870172374011092,0.4225608304750391,0.5292072620152382,0.5317225437677169
java,label_spreading,CodeT5,uniform,100,0.5248368258330471,0.2429615093089077,0.4343595366681338,0.5306690590550442,0.5321557229711658
java,label_spreading,CodeT5,uniform,250,0.604500171762281,0.3181183633547648,0.5218098412781045,0.6149363652282475,0.6094423742104278
java,label_spreading,CodeT5,uniform,500,0.7357265544486431,0.4960733291049074,0.6576797340328878,0.7413954811941154,0.7404341815421123
java,label_spreading,CodeT5,random_then_entropy_1,50,0.5295774647887324,0.2870172374011092,0.4225608304750391,0.5292072620152382,0.5317225437677169
java,label_spreading,CodeT5,random_then_entropy_1,100,0.6769838543455856,0.4399712921807276,0.5558789669684993,0.6733784700365582,0.6812831530862911
java,label_spreading,CodeT5,random_then_entropy_1,250,0.6840604603229131,0.415139947636247,0.5799616277044775,0.691282415740073,0.6921705379904146
java,label_spreading,CodeT5,random_then_entropy_1,500,0.7929577464788733,0.5913376000901094,0.715014568709518,0.7950410018972072,0.800533917311463
java,label_spreading,CodeT5,random_then_entropy_2,50,0.5295774647887324,0.2870172374011092,0.4225608304750391,0.5292072620152382,0.5317225437677169
java,label_spreading,CodeT5,random_then_entropy_2,100,0.6769838543455856,0.4399712921807276,0.5558789669684993,0.6733784700365582,0.6812831530862911
java,label_spreading,CodeT5,random_then_entropy_2,250,0.8091721058055651,0.6411746248715866,0.7040986664586756,0.8025727133258431,0.8063073483790856
java,label_spreading,CodeT5,random_then_entropy_2,500,0.873995190656132,0.7582387425997801,0.8115128530897173,0.8666782544326195,0.8716367105888734
